index,question,answer,Usage
test_0001,অমলক রতন কোহলি কোন ক্ষেত্রে বিশিষ্ট হিসেবে সম্মানিত?,শিক্ষাবিদ এবং মানব সম্পদ প্রশিক্ষক।,Private
test_0002,ম্যাক্স ব্যারনের বন্ধুরা তাকে কেন প্রায়ই ঠাট্টা-বিদ্রুপ করে?,তার প্রাথমিক চরিত্র।,Private
test_0003,ব্রিটিশ আমলে ব্যাঙ্কশাল কোর্ট কী নামে পরিচিত ছিল?,স্মল মোজেস কোর্ট।,Private
test_0004,কে জুতা বানানোর আধুনিক যন্ত্র তৈরি করেন?,লেম্যান আর. ব্লেক।,Public
test_0005,সার্ভাইভার সিরিজের ম্যাচে কখনও কখনও কী ধরনের অতিরিক্ত শর্ত আরোপ করা হয়?,পরাজিত দলের সদস্যদের ডাব্লিউডাব্লিউই হতে বরখাস্ত করা হবে।,Private
test_0006,আফরোজা পারভীন কবে বাংলা একাডেমি পুরস্কার অর্জন করেন?,২০২৩।,Private
test_0007,জরায়ুর সাথে সম্পর্কিত মুখ্য লিগামেন্টের কাজ কী?,জরায়ুর সহায়ক।,Public
test_0008,উসমানীয় প্রাসাদ বা বাড়িতে কোন দুটি অংশ পুরুষ ও মহিলাদের জন্য আলাদা ছিল?,সেলামলিক ও সেরাগ্লিও।,Private
test_0009,কার সেনাবাহিনী লোক ইতিহাস অনুসারে বেলুচিস্তানের মরুভূমিতে হারিয়ে যায়?,আসিরিয়ার রাণী সেমিরামিস এবং পারস্যের রাজা সিরুস।,Public
test_0010,আব্রাহাম টমাস কোন দেশের অতিক্ষুদ্র শল্যচিকিৎসা বিশেষজ্ঞ?,ভারত।,Public
test_0011,ওসিয়ত কীভাবে তৈরি করা হয়?,উত্তর নির্দিষ্ট নয়।,Public
test_0012,নাইট কোর্ট রিভাইভাল সিরিজের প্রথম সিজন কবে প্রিমিয়ার হয়েছিল?,"১৭ জানুয়ারী, ২০২৩।",Public
test_0013,রুমি নাকামুরা কোন সালে গডার্ড স্পেস ফ্লাইট সেন্টারে যোগদান করেন?,১৯৯১।,Public
test_0014,নবীনগর পশ্চিম ইউনিয়নের অন্তর্গত মহিলা মাদ্রসাটি কোন লিঙ্গের জন্য উদ্দিষ্ট?,মহিলা।,Public
test_0015,অমিতাভ মুখোপাধ্যায়ের গবেষণা কোন রোগের জন্য নতুন ওষুধের লক্ষ্যগুলো অন্বেষণে সহায়তা করেছে?,টাইফয়েড জ্বর এবং কালা জ্বর।,Public
test_0016,আন্দামান ও নিকোবর ফুটবল দলের ২০২২/২৩ মৌসুমের তালিকায় কোন ধরনের তথ্য অন্তর্ভুক্ত থাকবে?,খেলোয়াড়দের তালিকা।,Private
test_0017,চন্দ্র শেখর দে কোন বিশ্ববিদ্যালয় থেকে এমএফএ পাশ করেন?,চট্টগ্রাম বিশ্ববিদ্যালয়।,Public
test_0018,আইয়ারপাগাই নায়নারের নামের অর্থ কী?,প্রকৃতির বিপরীত।,Public
test_0019,অ্যাপালেশিয়া অঞ্চলের ভৌগোলিক বৈশিষ্ট্য কী?,পার্বত্য।,Public
test_0020,লোকম্যান কোম্পানিটি কোন দেশে এবং কোন বছরে প্রতিষ্ঠিত হয়েছিল?,"ইতালি, ১৯৮৬।",Public
test_0021,প্রতিমা ভৌমিক কোন লোকসভার সদস্য হিসেবে নির্বাচিত হন?,সপ্তদশ লোকসভা।,Public
test_0022,পি. মাধবনের পরিচালিত প্রথম চলচ্চিত্রের নাম কী?,"""মণি ওসাই""।",Public
test_0023,ফরাসি দ্বিতীয় প্রজাতন্ত্রের নেতৃস্থানীয় দলগুলি কীভাবে বিভক্ত ছিল?,উপজাতীয় প্রবণতায়।,Private
test_0024,বুয়াকে স্টেডিয়ামটি কোন বছরের আফ্রিকা কাপ অব নেশনস-এর জন্য একটি আয়োজন স্টেডিয়াম ছিল?,২০২৩।,Private
test_0025,"ড্যানি ডেভিটো কোন পুরস্কার জিতেছিলেন টেলিভিশন সিরিজ ""ট্যাক্সি""-তে অভিনয়ের জন্য?",একটি গোল্ডেন গ্লোব পুরস্কার এবং একটি এমি পুরস্কার।,Public
test_0026,ইরাকি কুর্দিস্তানে বহুবিবাহ নিষেধাজ্ঞাকে কোন দল আধা-বিজয় হিসেবে দেখেছে?,নারীবাদী দল।,Public
test_0027,সৌরভ গঙ্গোপাধ্যায় একদিনের আন্তর্জাতিক (ওডিআই) ম্যাচে কতগুলি শতরান করেছেন?,২২।,Public
test_0028,সোলেরো আইসক্রিম মার্কাটি কোন সালে প্রথম চালু হয়?,১৯৯৪।,Private
test_0029,ঘড়ি কোথায় সাধারণত দেখা যায়?,দেয়াল।,Private
test_0030,মোজাম্বিকে বহুগামী ইউনিয়নে বিবাহিত মহিলাদের প্রায় কত শতাংশ রয়েছে?,২০%।,Private
test_0031,গাজনের সন্ন্যাসীদের কীভাবে অভিহিত করা হয়?,ভক্ত বা ভক্তিয়া।,Public
test_0032,চিকিৎসা শিক্ষার ক্ষেত্রে নিয়ম ও মান মেনে চলার ফলাফল কী?,রোগীদের নিরাপত্তা ও সুস্থতা নিশ্চিত করা।,Public
test_0033,সৈয়দ মাসুদল হোসেন কতবার সংসদ সদস্য হিসেবে পুনঃনির্বাচিত হন?,৫।,Public
test_0034,কে. এম. জাহিদ সারওয়ার এবং বিচারপতি মুস্তাফা জামান ইসলাম কোন মামলায় নিম্ন আদালতের বিচারকদের আচরণের সমালোচনা করেন?,পরীমনির মামলা।,Public
test_0035,শৈলকুপা শাহী মসজিদটি কোন নদীর তীরে অবস্থিত?,কুমার নদ।,Public
test_0036,নফল ইবাদতগুলি মুসলমানদের জীবনে কীভাবে সহায়তা করে?,আধ্যাত্মিক উন্নতির জন্য।,Public
test_0037,মিস ইউনিভার্স ২০১৩ প্রতিযোগিতা কোথায় অনুষ্ঠিত হয়েছিল?,ক্রাসনোগর্স্ক।,Public
test_0038,রংপুর সিটি কর্পোরেশনের আওতাধীন ১৬নং ওয়ার্ডটি কোন দেশে অবস্থিত?,বাংলাদেশ।,Private
test_0039,হিঙ্গুলী কলেজে কোন ধরনের শিক্ষা ব্যবস্থা রয়েছে?,সহ-শিক্ষা।,Public
test_0040,বিলাতী ধনিয়া কোন পরিবারের অন্তর্গত?,Apiaceae।,Public
test_0041,যতীন্দ্রচন্দ্র ভট্টাচার্য কার সহযোগী ছিলেন?,সুভাষচন্দ্র।,Public
test_0042,কেন উইলিয়ামসন টি২০আই ফর্ম্যাটে এখনো সেঞ্চুরি করেননি?,তার সর্বোচ্চ স্কোর অপরাজিত ৭৩ রান।,Public
test_0043,ইউবিসফটের সর্ববৃহৎ স্টুডিওটি কোথায় অবস্থিত?,মন্ট্রিয়ল।,Public
test_0044,২০২৪ সুপার কাপ (ভারত) টুর্নামেন্টে বিদেশী খেলোয়াড়দের মধ্যে একজনকে অবশ্যই কোন কোটা থেকে অন্তর্ভুক্ত করতে হবে?,এএফসি কোটা।,Public
test_0045,মধুচন্দ্রিমা সম্পর্কে বাইবেলের কোন অংশে উল্লেখ করা হয়েছে?,একটি পঙ্‌ক্তি।,Public
test_0046,"পূর্ণম এলাহাবাদি কোন ধরনের শিল্পী ছিলেন, যিনি কাওয়ালি ভর দো ঝোলি মেরি ইয়া মুহাম্মাদ গানের জন্য পরিচিত ছিলেন?",উর্দু কবি এবং গীতিকার।,Public
test_0047,আবুধাবি নাইট রাইডার্স দলটি কবে ইন্টারন্যাশনাল লিগ টি২০-তে খেলার জন্য ঘোষণা করা হয়েছিল?,২০২২ সালে।,Public
test_0048,সামথকে কত মাসের কারাদন্ড দেওয়া হয় চার্চ পোড়ানোর জন্য?,১৬ মাস।,Public
test_0049,এম. এ. রসুলের রাজনৈতিক জীবনে কোন দুটি গুরুত্বপূর্ণ পদ অন্তর্ভুক্ত ছিল?,বিধায়ক ও মন্ত্রী।,Public
test_0050,রায়ান চলচ্চিত্রটি কোন সালে মুক্তি পায়?,২০২৪।,Private
test_0051,মার্টিন এবারহার্ড কবে ইউনিভার্সিটি অফ ইলিনয় ইঞ্জিনিয়ারিং হল অফ ফেমে অন্তর্ভুক্ত হন?,২০১৫ সালে।,Public
test_0052,"সিজিএস বগুড়া জাহাজটি কবে বাংলাদেশ কোস্টগার্ডের ""সিজিএস বগুড়া"" হিসাবে কমিশন লাভ করে?",১৯৯৫।,Public
test_0053,জাকি ইসমাইলের জাতীয়তা কী?,ইংরেজ।,Public
test_0054,বেনরাট রেখাটি কোন সরণের একেবারে উত্তর প্রান্তসীমার কাছাকাছি একটি রেখাকে নির্দেশ করছে?,উচ্চ জার্মান ব্যঞ্জনধ্বনি সরণ।,Public
test_0055,"বায়তুল হুদা মসজিদ, ইউসিংগেন পুনর্নির্মাণের পরে এর প্রবেশদ্বারে কী রোপণ করা হয়েছিল?",একটি গাছ।,Public
test_0056,ক্রোমিয়াম(III) ব্রোমাইড এবং হাইড্রোজেন গ্যাসের মধ্যে বিক্রিয়ায় কী তৈরি হয়?,ক্রোমিয়াম(II।,Public
test_0057,সরকারি নূরুননাহার মহিলা কলেজে কোন ধরনের সহশিক্ষা কার্যক্রম পরিচালিত হয়?,"সাংস্কৃতিক সপ্তাহ, বক্তৃতা, বিতর্ক ও রচনা প্রতিযোগিতা, শিক্ষা সফর, বার্ষিক ক্রীড়া অনুষ্ঠান, জাতীয় দিবস উদযাপন, নবীনবরণ, অভিভাবক দিবস, বিশেষ দোয়া ও মোনাজাত।",Public
test_0058,অনামিকা (দ্বিতীয়) কাব্যগ্রন্থটি কবে প্রথম প্রকাশিত হয়েছিল?,১৯২২।,Public
